,Date,VolatilityIndex,AppleVolatilityIndex,AmazonVolatilityIndex,GoogleVolatilityIndex,SP500Stock,Inflation,DollarIndex,Apple-Close,Apple-Adjusted-Close,Apple-Volume,Amazon-Close,Amazon-Adjusted-Close,Amazon-Volume,Google-Close,Google-Adjusted-Close,Goolge-Volume
17,05/03/2013,12.85,26.11,27.94,19.60,1614.42,2.31,91.5087,16.070715,13.879972,361300800,12.9025,12.9025,70280000,21.064047,21.064047,100880714
18,05/06/2013,12.66,27.52,28.86,21.16,1617.50,2.31,91.6387,16.45393,14.210949,496641600,12.786,12.786,46956000,21.458319,21.458319,85973045
19,05/07/2013,12.83,27.46,27.81,21.18,1625.96,2.32,91.5201,16.380714,14.147714,483753200,12.8865,12.8865,62674000,21.350721,21.350721,78653713
20,05/08/2013,12.66,26.69,27.34,21.51,1632.69,2.29,91.1848,16.565714,14.307498,472598000,12.934,12.934,53540000,21.759192,21.759192,99102072
21,05/09/2013,13.13,26.72,26.70,21.47,1626.67,2.31,91.3036,16.313213,14.182677,398487600,13.008,13.008,55386000,21.705643,21.705643,88353936
22,05/10/2013,12.59,26.28,26.62,21.61,1633.70,2.35,92.2527,16.1775,14.064684,334852000,13.1815,13.1815,62906000,21.923574,21.923574,76192522
23,05/13/2013,12.55,26.58,26.48,19.82,1633.77,2.33,92.2711,16.240713,14.119642,316948800,13.2255,13.2255,42990000,21.856327,21.856327,58157173
24,05/14/2013,12.77,26.82,25.43,18.94,1650.34,2.33,92.3697,15.852143,13.781821,447118000,13.4165,13.4165,54000000,22.094685,22.094685,63408784
25,05/15/2013,12.81,30.22,27.27,19.92,1658.78,2.30,92.7691,15.316071,13.31576,741613600,13.328,13.328,54410000,22.811747,22.811747,160033605
26,05/16/2013,13.07,29.70,27.23,23.29,1650.47,2.27,92.6602,15.520714,13.493675,603204000,13.206,13.206,32870000,22.512367,22.512367,128865215
27,05/17/2013,12.45,28.90,26.58,21.49,1667.47,2.26,93.1617,15.473571,13.452689,427904400,13.495,13.495,50546000,22.644623,22.644623,112098604
28,05/20/2013,13.02,28.35,27.27,22.90,1666.29,2.28,93.0359,15.818929,13.752944,451578400,13.3815,13.3815,44180000,22.628433,22.628433,91248746
29,05/21/2013,13.37,28.80,26.96,21.22,1669.16,2.28,92.9662,15.702143,13.651411,456022000,13.443,13.443,34824000,22.589579,22.589579,79617311
30,05/22/2013,13.82,28.47,26.76,21.79,1655.35,2.27,93.3104,15.7625,13.703885,443038400,13.148,13.148,66640000,22.152468,22.152468,102807910
31,05/23/2013,14.07,28.39,27.04,22.88,1650.51,2.26,93.2113,15.790714,13.728412,353021200,13.09,13.09,40006000,21.987335,21.987335,91345105
32,05/24/2013,13.99,27.31,26.64,21.13,1649.60,2.27,93.2768,15.898214,13.821875,276166800,13.087,13.087,33926000,21.751471,21.751471,92216359
33,05/28/2013,14.48,27.86,27.85,23.39,1660.06,2.29,93.5853,15.765714,13.706678,386145200,13.3645,13.3645,69420000,21.949478,21.949478,90638467
34,05/29/2013,14.83,27.72,28.05,24.02,1648.36,2.23,93.531,15.891071,13.815664,330576400,13.2765,13.2765,38068000,21.626688,21.626688,80837869
35,05/30/2013,14.53,27.54,27.56,23.93,1654.41,2.18,93.4219,16.127857,14.021526,353519600,13.3415,13.3415,33350000,21.68771,21.68771,85145956
36,05/31/2013,16.30,27.23,27.98,24.20,1630.74,2.21,93.6076,16.061787,13.964082,384302800,13.46,13.46,67486000,21.699165,21.699165,79071272
37,06/03/2013,16.28,28.34,28.96,25.78,1640.42,2.20,93.163,16.097143,13.994821,372352400,13.344,13.344,50878000,21.609751,21.609751,99399181
38,06/04/2013,16.27,27.96,28.92,26.00,1631.38,2.19,93.3067,16.046785,13.951041,292728800,13.285,13.285,41772000,21.397299,21.397299,75024159
39,06/05/2013,17.50,28.53,29.80,26.86,1608.90,2.16,93.275,15.896786,13.820634,290589600,13.3585,13.3585,70246000,21.412243,21.412243,84587872
40,06/06/2013,16.63,29.48,29.83,27.15,1622.56,2.13,92.809,15.659286,13.61415,416934000,13.3915,13.3915,49526000,21.53528,21.53528,103550684
41,06/07/2013,15.14,29.06,29.45,25.61,1643.38,2.14,92.6056,15.778929,13.718171,404535600,13.8435,13.8435,92652000,21.911121,21.911121,107385002
42,06/10/2013,15.44,27.94,29.47,26.46,1642.81,2.11,92.973,15.674643,13.627502,450153200,14.0535,14.0535,61730000,22.172392,22.172392,93862506
43,06/11/2013,17.07,27.13,28.66,27.58,1626.13,2.07,92.7996,15.628571,13.587444,286112400,13.739,13.739,61956000,21.913115,21.913115,70567517
44,06/12/2013,18.59,27.23,29.08,27.63,1612.52,2.04,92.4775,15.435357,13.419469,265227200,13.5835,13.5835,44778000,21.718096,21.718096,88522565
45,06/13/2013,16.41,26.13,28.58,27.46,1636.36,2.04,92.3449,15.57,13.536527,285832400,13.7895,13.7895,52996000,21.843126,21.843126,83106340
46,06/14/2013,17.15,26.42,28.92,27.39,1626.73,2.05,92.1886,15.358929,13.35302,271866000,13.6995,13.6995,43016000,21.79431,21.79431,90136592
47,06/17/2013,16.80,25.16,28.25,26.90,1639.04,2.04,92.3332,15.428571,13.413567,259414400,13.903,13.903,57680000,22.073513,22.073513,86173794
48,06/18/2013,16.61,24.40,27.61,26.76,1651.81,2.06,92.5432,15.420357,13.406426,195025600,14.088,14.088,42922000,22.431421,22.431421,87000883
49,06/19/2013,16.64,24.40,27.62,26.98,1628.93,2.04,92.4755,15.107143,13.134118,310940000,13.908,13.908,56550000,22.432917,22.432917,117073180
50,06/20/2013,20.49,27.83,31.01,28.80,1588.19,1.95,94.125,14.887143,12.942856,357310800,13.672,13.672,59680000,22.035904,22.035904,135385563
51,06/21/2013,18.90,28.23,30.43,28.35,1592.43,1.93,94.4243,14.767857,12.839147,481118400,13.668,13.668,84020000,21.94101,21.94101,159889066
52,06/24/2013,20.11,30.64,32.09,29.54,1573.09,1.93,94.5714,14.376429,12.498838,480746000,13.5305,13.5305,77276000,21.663549,21.663549,121128323
53,06/25/2013,18.47,29.63,31.19,29.63,1588.03,1.96,94.3285,14.379643,12.501633,314162800,13.6045,13.6045,48992000,21.574135,21.574135,102510801
54,06/26/2013,17.21,29.94,30.66,28.58,1603.26,1.95,94.3807,14.216786,12.360048,367724000,13.8785,13.8785,60590000,21.759689,21.759689,73530581
55,06/27/2013,16.86,30.67,30.99,28.42,1613.20,1.99,94.2429,14.063571,12.22684,337246000,13.8775,13.8775,50390000,21.84487,21.84487,77348840
56,06/28/2013,16.86,30.18,30.63,27.95,1606.28,1.99,94.3047,14.161786,12.312227,578516400,13.8845,13.8845,63866000,21.927061,21.927061,94324230
57,07/01/2013,16.37,30.29,33.54,27.43,1614.96,2.02,94.0998,14.615,12.706251,391053600,14.105,14.105,57764000,22.114111,22.114111,69250599
58,07/02/2013,16.44,29.23,33.48,27.15,1614.08,2.04,94.4051,14.946071,12.994081,469865200,14.1865,14.1865,64764000,21.975382,21.975382,75943592
59,07/03/2013,16.20,29.06,33.54,27.29,1615.41,2.04,94.4767,15.028571,13.065807,240928800,14.2015,14.2015,27460000,22.077995,22.077995,42036977
60,07/05/2013,14.89,29.75,33.98,27.25,1631.89,2.07,95.0639,14.907857,12.960859,274024800,14.294,14.294,39708000,22.253838,22.253838,68331166
61,07/08/2013,14.78,30.32,35.53,27.95,1640.46,2.07,94.9954,14.823214,12.887269,298138400,14.5295,14.5295,60934000,22.542753,22.542753,79075287
62,07/09/2013,14.35,31.01,34.97,27.19,1652.32,2.06,94.9467,15.083929,13.113939,352584400,14.5765,14.5765,55512000,22.54649,22.54649,79472771
63,07/10/2013,14.21,30.59,35.30,27.67,1652.62,2.06,94.7595,15.026071,13.063634,281405600,14.6165,14.6165,36204000,22.56517,22.56517,68592140
64,07/11/2013,14.01,29.67,36.58,26.98,1675.02,2.04,93.949,15.260357,13.267324,326292400,14.983,14.983,80146000,22.92009,22.92009,103755449
65,07/12/2013,13.84,29.57,36.86,27.18,1680.19,2.06,94.0029,15.2325,13.243106,279563200,15.3775,15.3775,90786000,22.988832,22.988832,103113050
66,07/15/2013,13.79,30.92,39.06,27.07,1682.50,2.10,93.9729,15.265714,13.271981,241917200,15.3285,15.3285,44912000,23.030924,23.030924,78713937
67,07/16/2013,14.42,30.15,38.06,26.21,1676.26,2.14,93.5232,15.364286,13.357678,216538000,15.3435,15.3435,53204000,22.9044,22.9044,79617311
68,07/17/2013,13.78,29.27,37.23,25.75,1680.91,2.14,93.5498,15.368214,13.361093,198990400,15.4345,15.4345,40594000,22.877998,22.877998,60469809
69,07/18/2013,13.77,28.74,37.35,25.12,1689.37,2.18,93.681,15.42,13.406116,218878800,15.2055,15.2055,61276000,22.681982,22.681982,145924920
70,07/19/2013,12.54,30.20,37.21,19.11,1692.09,2.21,93.4759,15.176786,13.194667,268721600,15.2615,15.2615,59462000,22.331297,22.331297,295475379
71,07/22/2013,12.29,29.88,37.08,17.54,1695.53,2.22,93.2253,15.225357,13.236892,207796400,15.174,15.174,50414000,22.68248,22.68248,116563276
72,07/23/2013,12.66,30.23,35.59,16.97,1692.39,2.20,93.1631,14.963929,13.009612,369395600,15.053,15.053,39992000,22.510626,22.510626,82134711
73,07/24/2013,13.18,23.46,36.10,16.88,1685.94,2.17,93.3124,15.7325,13.677802,591936800,14.947,14.947,40010000,22.488209,22.488209,83451629
74,07/25/2013,12.97,23.92,37.58,18.18,1690.25,2.17,93.2862,15.660714,13.615392,229493600,15.17,15.17,108116000,22.109629,22.109629,120493954
75,07/26/2013,12.72,22.92,26.15,18.24,1691.65,2.15,93.1695,15.749643,13.692707,200152400,15.6005,15.6005,176350000,22.051098,22.051098,71374530
76,07/29/2013,13.39,23.60,26.50,19.10,1685.33,2.16,93.1663,15.9925,13.903847,248057600,15.305,15.305,64236000,21.974384,21.974384,75959652
77,07/30/2013,13.39,23.26,25.97,19.17,1685.96,2.17,93.3976,16.190001,14.075553,309422400,15.1205,15.1205,61068000,22.189827,22.189827,70487217
78,07/31/2013,13.45,23.07,26.39,19.17,1685.73,2.22,93.5703,16.161785,14.051023,322957600,15.061,15.061,37826000,22.110872,22.110872,87265872
79,08/01/2013,12.94,23.03,26.33,18.79,1706.87,2.26,93.7972,16.309999,14.17988,206250800,15.2785,15.2785,59434000,22.521086,22.521086,85856610
80,08/02/2013,11.98,23.09,24.79,18.35,1709.67,2.21,93.5789,16.519285,14.361835,274783600,15.2105,15.2105,50052000,22.579617,22.579617,68812965
81,08/05/2013,11.84,24.28,25.33,18.48,1707.14,2.25,93.507,16.766071,14.576389,318855600,15.0495,15.0495,44664000,22.540512,22.540512,52584363
82,08/06/2013,12.72,23.60,25.64,18.74,1697.37,2.28,93.3199,16.616072,14.445983,334857600,15.0375,15.0375,36980000,22.330549,22.330549,60469809
83,08/07/2013,12.98,23.73,25.75,18.97,1690.91,2.26,93.2652,16.606428,14.437597,298858000,14.8455,14.8455,39220000,22.183102,22.183102,55374783
84,08/08/2013,12.73,22.88,25.34,18.67,1697.48,2.24,92.8483,16.464643,14.408841,255777200,14.787,14.787,46868000,22.233166,22.233166,59743096
85,08/09/2013,13.41,22.51,24.93,18.55,1691.42,2.24,92.8394,16.230356,14.203808,266865200,14.863,14.863,39006000,22.177126,22.177126,53146462
86,08/12/2013,12.81,24.41,24.01,16.01,1689.47,2.24,92.9178,16.691429,14.607312,364434000,14.8345,14.8345,30090000,22.055082,22.055082,55286453
87,08/13/2013,12.31,27.62,23.75,16.05,1694.16,2.23,93.476,17.484644,15.301477,881941200,14.6985,14.6985,46998000,21.94898,21.94898,57004870
88,08/14/2013,13.04,28.86,24.07,17.80,1685.39,2.21,93.382,17.803572,15.580594,756372400,14.567,14.567,28300000,21.664047,21.664047,83600184
89,08/15/2013,14.73,29.08,26.43,20.30,1661.32,2.17,93.5059,17.782499,15.56215,490294000,14.3235,14.3235,45228000,21.411245,21.411245,75048249
90,08/16/2013,14.37,29.71,25.79,20.32,1655.83,2.16,93.4255,17.940357,15.700293,362306000,14.241,14.241,48450000,21.342752,21.342752,67255147
91,08/19/2013,15.10,30.97,25.63,20.92,1646.06,2.13,93.6623,18.133572,15.869383,510518400,14.2785,14.2785,49548000,21.560436,21.560436,72707508
92,08/20/2013,14.91,30.54,24.98,20.20,1652.35,2.15,93.5536,17.895357,15.660913,358688400,14.3545,14.3545,31726000,21.554708,21.554708,49504863
93,08/21/2013,15.94,29.98,25.87,20.94,1642.80,2.14,94.0362,17.941429,15.701235,335879600,14.2285,14.2285,36306000,21.652094,21.652094,70555472
94,08/22/2013,14.76,29.31,25.96,20.35,1656.96,2.11,94.2804,17.962856,15.719989,244207600,14.4865,14.4865,28452000,21.761185,21.761185,34926424
95,08/23/2013,13.98,28.67,25.25,20.19,1663.50,2.13,93.9466,17.893572,15.659353,222731600,14.5005,14.5005,39238000,21.674009,21.674009,43245489
96,08/26/2013,14.99,29.10,26.32,22.08,1656.78,2.15,94.1853,17.963215,15.720295,330965600,14.3105,14.3105,34234000,21.578867,21.578867,42257801
97,08/27/2013,16.77,31.63,27.94,24.64,1630.48,2.15,94.3934,17.449642,15.270851,424188800,14.0465,14.0465,49520000,21.174383,21.174383,69623993
98,08/28/2013,16.49,30.86,27.46,24.95,1634.96,2.15,94.4127,17.532143,15.343049,307608000,14.079,14.079,29142000,21.134533,21.134533,53395392
99,08/29/2013,16.81,30.20,27.11,24.10,1638.17,2.10,94.6398,17.560715,15.368052,239657600,14.199,14.199,31328000,21.305889,21.305889,59361671
100,08/30/2013,17.01,31.05,27.45,24.46,1632.97,2.10,94.7541,17.400715,15.228035,272297200,14.049,14.049,30694000,21.093437,21.093437,74743109
101,09/03/2013,16.61,31.34,27.72,24.81,1639.77,2.10,94.9574,17.449286,15.27054,331928800,14.44,14.44,57952000,21.429178,21.429178,82210996
102,09/04/2013,15.88,30.62,26.96,24.21,1653.08,2.07,94.5739,17.810356,15.586528,345032800,14.682,14.682,48772000,21.709377,21.709377,81954037
103,09/05/2013,15.77,30.82,26.75,24.03,1655.08,2.06,94.8891,17.688213,15.47964,236367600,14.705,14.705,36332000,21.906887,21.906887,51845604
104,09/06/2013,15.85,31.26,26.91,23.69,1655.17,2.07,94.2487,17.793571,15.571837,359525600,14.793,14.793,45840000,21.907387,21.907387,62698130
105,09/09/2013,15.63,30.76,26.75,24.10,1671.71,2.06,94.0009,18.077499,15.820314,340687200,14.9855,14.9855,32872000,22.118345,22.118345,49569103
106,09/10/2013,14.53,29.87,25.23,24.08,1683.99,2.10,93.938,17.665714,15.459941,743195600,15.018,15.018,35568000,22.133787,22.133787,51697050
107,09/11/2013,13.82,29.49,24.72,24.53,1689.13,2.13,93.7112,16.70393,14.618248,898696400,14.982,14.982,34852000,22.321085,22.321085,64665477
108,09/12/2013,14.29,27.72,24.93,24.46,1683.42,2.11,93.5903,16.881786,14.773898,404051200,14.943,14.943,32124000,22.243128,22.243128,43984248
109,09/13/2013,14.16,27.36,24.40,23.99,1687.99,2.10,93.6666,16.603571,14.530422,298835600,14.896,14.896,27012000,22.143749,22.143749,53214717
110,09/16/2013,14.38,28.53,23.57,24.67,1697.60,2.12,93.2875,16.075714,14.068471,543706800,14.803,14.803,36168000,22.111122,22.111122,53660381
111,09/17/2013,14.53,27.82,24.55,25.12,1704.76,2.16,93.2231,16.261429,14.231001,399380800,15.2085,15.2085,45930000,22.070026,22.070026,50564822
112,09/18/2013,13.59,27.86,25.13,24.79,1725.52,2.20,93.2569,16.595715,14.523547,456862000,15.6015,15.6015,58928000,22.498669,22.498669,77678069
113,09/19/2013,13.16,28.13,25.14,24.44,1722.34,2.21,92.4082,16.867857,14.761708,404541200,15.603,15.603,47018000,22.375879,22.375879,64155573
114,09/20/2013,13.12,29.56,26.39,23.99,1709.91,2.23,92.6049,16.693214,14.608871,699302800,15.817,15.817,106046000,22.493439,22.493439,174463490
115,09/23/2013,14.31,29.95,28.60,25.84,1701.84,2.26,92.613,17.522858,15.334924,762106800,15.5745,15.5745,37698000,22.079741,22.079741,71362485
116,09/24/2013,14.08,29.48,29.05,25.68,1697.42,2.19,92.7691,17.467857,15.286792,364344400,15.7065,15.7065,40672000,22.088207,22.088207,59694916
117,09/25/2013,14.01,30.16,29.63,25.68,1692.77,2.18,92.7675,17.1975,15.050192,316957200,15.6325,15.6325,40172000,21.848854,21.848854,66207234
118,09/26/2013,14.06,29.68,30.40,25.40,1698.67,2.19,93.0096,17.365,15.196776,237221600,15.906,15.906,39798000,21.872267,21.872267,50584897
119,09/27/2013,15.46,30.62,30.56,25.33,1691.75,2.18,92.9747,17.241072,15.088325,228040400,15.8005,15.8005,33150000,21.827934,21.827934,50540732
120,09/30/2013,16.60,32.37,32.63,26.30,1681.55,2.19,92.9207,17.026787,14.900792,260156400,15.632,15.632,32472000,21.815977,21.815977,69154239
121,10/01/2013,15.54,31.08,32.76,25.85,1695.00,2.20,92.9515,17.427143,15.251157,353883600,16.047501,16.047501,47928000,22.092194,22.092194,67644602
122,10/02/2013,16.60,30.60,33.67,25.71,1693.87,2.20,92.772,17.484285,15.301163,289184000,16.025499,16.025499,44348000,22.116852,22.116852,60036190
123,10/03/2013,17.67,31.04,34.65,26.76,1678.66,2.19,92.7461,17.264643,15.108953,322753200,15.738,15.738,53496000,21.820461,21.820461,84997401
124,10/04/2013,16.74,30.57,34.29,26.79,1690.50,2.20,92.6469,17.251072,15.097075,258868400,15.952,15.952,36300000,21.72731,21.72731,54523605
125,10/07/2013,19.41,31.92,37.02,28.04,1676.12,2.20,92.6725,17.419643,15.244599,312292400,15.5015,15.5015,41664000,21.562677,21.562677,51937949
126,10/08/2013,20.34,34.01,40.02,28.95,1655.45,2.18,92.7558,17.17643,15.031754,290917200,15.1615,15.1615,63324000,21.262054,21.262054,78039419
127,10/09/2013,19.60,34.14,40.76,29.51,1656.40,2.21,93.0829,17.378214,15.208341,301725200,14.9115,14.9115,64948000,21.316601,21.316601,106449509
128,10/10/2013,16.48,32.95,38.55,27.97,1692.56,2.21,92.8579,17.487143,15.303672,278602800,15.2585,15.2585,51102000,21.624945,21.624945,90550137
129,10/11/2013,15.72,31.93,37.62,26.55,1703.20,2.20,92.854,17.600357,15.402745,267738800,15.5445,15.5445,43262000,21.718344,21.718344,56567236
130,10/14/2013,16.07,32.26,39.36,25.92,1710.14,.,.,17.715714,15.503701,261898000,15.535,15.535,38782000,21.820959,21.820959,49930453
131,10/15/2013,18.66,31.61,39.36,24.69,1698.06,2.21,92.7642,17.809999,15.586216,320073600,15.32,15.32,45222000,21.967909,21.967909,63914673
132,10/16/2013,14.71,31.06,37.45,23.63,1721.54,2.19,92.6819,17.896786,15.662161,251101200,15.5245,15.5245,43414000,22.366913,22.366913,80604999
133,10/17/2013,13.48,30.30,35.90,22.80,1733.15,2.16,92.0246,18.017857,15.768112,253593200,15.5385,15.5385,52968000,22.136776,22.136776,170902191
134,10/18/2013,13.04,32.19,37.83,21.23,1744.50,2.18,91.9989,18.174643,15.905329,290542000,16.446501,16.446501,119396000,25.190828,25.190828,464390148
135,10/21/2013,13.16,34.22,39.01,22.12,1744.66,2.19,92.2498,18.620001,16.295078,398106800,16.322001,16.322001,50446000,24.988836,24.988836,145675990
136,10/22/2013,13.33,35.08,39.74,21.21,1754.67,2.17,91.9563,18.566786,16.248505,534063600,16.627001,16.627001,78710000,25.08099,25.08099,88675135
137,10/23/2013,13.42,34.67,42.07,23.04,1746.38,2.15,92.0947,18.748571,16.4076,313723200,16.337999,16.337999,56364000,25.688961,25.688961,106927293
138,10/24/2013,13.20,34.51,43.43,21.82,1752.07,2.17,92.1867,18.996786,16.624815,384764800,16.6105,16.6105,117694000,25.543009,25.543009,83997668
139,10/25/2013,13.09,36.68,30.87,20.59,1759.77,2.19,92.1623,18.784286,16.438852,337792000,18.1695,18.1695,240736000,25.285225,25.285225,81524432
140,10/28/2013,13.31,34.57,30.00,21.32,1762.11,2.19,92.1872,18.924286,16.561367,550440800,17.908001,17.908001,72716000,25.280243,25.280243,46521724
141,10/29/2013,13.41,27.38,29.61,20.48,1771.95,2.18,92.301,18.452856,16.148802,635807200,18.135,18.135,43708000,25.809261,25.809261,64440637
142,10/30/2013,13.65,26.49,28.77,19.73,1763.31,2.18,92.3057,18.746429,16.405716,354163600,18.054001,18.054001,90044000,25.664305,25.664305,53162522
143,10/31/2013,13.75,25.78,29.13,19.46,1756.54,2.17,92.731,18.667856,16.336958,275696400,18.2015,18.2015,49336000,25.668289,25.668289,65845885
144,11/01/2013,13.28,25.96,28.14,18.40,1761.64,2.15,93.155,18.5725,16.253508,274890000,17.950001,17.950001,66620000,25.580118,25.580118,51524405
145,11/04/2013,12.93,25.02,28.46,17.62,1767.93,2.13,92.9359,18.8125,16.463549,244627600,17.937,17.937,38768000,25.556955,25.556955,45722740
146,11/05/2013,13.27,25.01,28.78,18.17,1762.97,2.14,93.2112,18.766071,16.422911,265213200,17.9445,17.9445,40142000,25.442635,25.442635,47433127
147,11/06/2013,12.67,24.16,28.84,18.11,1770.49,2.19,93.0943,18.604286,16.376377,223375600,17.809,17.809,45646000,25.47327,25.47327,36652871
148,11/07/2013,13.91,24.16,30.43,18.55,1747.15,2.17,93.4003,18.303213,16.111364,262620400,17.177999,17.177999,84926000,25.104652,25.104652,67435822
149,11/08/2013,12.90,22.78,28.01,17.80,1770.61,2.18,93.6619,18.591429,16.36507,279316800,17.515499,17.515499,53138000,25.305897,25.305897,51825529
150,11/11/2013,12.53,21.64,28.38,15.95,1771.89,.,.,18.5375,16.317591,227452400,17.719,17.719,45234000,25.170404,25.170404,44670812
151,11/12/2013,12.82,22.08,28.25,15.79,1767.69,2.18,93.7651,18.571787,16.347773,204276800,17.4765,17.4765,46862000,25.200045,25.200045,48906630
152,11/13/2013,12.52,21.75,27.29,16.60,1782.00,2.17,93.4848,18.593929,16.36726,197220800,17.811001,17.811001,55466000,25.715363,25.715363,63412799
153,11/14/2013,12.37,21.53,27.78,15.96,1790.62,2.18,93.4328,18.862858,16.603992,282419200,18.370001,18.370001,83196000,25.784105,25.784105,46842923
154,11/15/2013,12.19,22.02,28.19,16.62,1798.18,2.18,93.2854,18.749643,16.504333,317920400,18.4585,18.4585,89832000,25.742512,25.742512,51243355
155,11/18/2013,13.10,22.65,28.05,18.09,1791.53,2.19,92.9824,18.522499,16.304384,244944000,18.309,18.309,54748000,25.692448,25.692448,70651832
156,11/19/2013,13.39,21.77,28.80,18.17,1787.87,2.18,93.0649,18.555357,16.333311,208938800,18.247,18.247,38096000,25.53429,25.53429,45433661
157,11/20/2013,13.40,21.68,28.31,17.80,1781.37,2.16,93.2501,18.392857,16.190273,193916800,18.1285,18.1285,35430000,25.462311,25.462311,38692487
158,11/21/2013,12.66,21.79,27.75,17.93,1795.85,2.19,93.5638,18.612143,16.383295,262026800,18.445999,18.445999,39292000,25.755213,25.755213,43835693
159,11/22/2013,12.26,22.06,27.72,17.90,1804.76,2.19,93.4198,18.564285,16.341175,223725600,18.615499,18.615499,59310000,25.700916,25.700916,50356042
160,11/25/2013,12.79,21.77,28.75,18.85,1802.48,2.18,93.5539,18.705,16.465029,229311600,18.832001,18.832001,59446000,26.050606,26.050606,64761837
161,11/26/2013,12.81,22.05,28.03,18.60,1802.75,2.17,93.5226,19.049999,16.768721,401382800,19.068501,19.068501,54488000,26.361441,26.361441,91794785
162,11/27/2013,12.98,22.42,27.98,18.35,1807.23,2.16,93.6864,19.498571,17.163572,363448400,19.335501,19.335501,45394000,26.478502,26.478502,45112461
163,11/29/2013,13.70,25.72,28.63,18.79,1805.81,2.15,93.6291,19.859644,17.481403,318127600,19.681,19.681,48120000,26.390831,26.390831,47890836
164,12/02/2013,14.23,25.95,30.58,19.55,1800.90,2.15,93.8856,19.686787,17.329252,472544800,19.615,19.615,94280000,26.263557,26.263557,55133884
165,12/03/2013,14.55,27.12,30.01,19.67,1795.15,2.15,93.8251,20.225714,17.80364,450968000,19.233,19.233,74058000,26.233171,26.233171,67295297
166,12/04/2013,14.70,27.30,29.94,20.30,1792.81,2.11,93.8997,20.178572,17.76215,377809600,19.298,19.298,47106000,26.355713,26.355713,47842656
167,12/05/2013,15.08,28.20,29.81,21.39,1785.03,2.12,93.4954,20.282143,17.853312,447580000,19.224501,19.224501,38130000,26.334791,26.334791,45517975
168,12/06/2013,13.79,28.03,28.37,20.79,1805.09,2.11,93.4045,20.000713,17.605587,344352400,19.3475,19.3475,39694000,26.646872,26.646872,57366220
169,12/09/2013,13.49,26.50,27.82,20.22,1808.37,2.12,93.1444,20.229643,17.807098,320493600,19.244499,19.244499,55236000,26.852848,26.852848,59526286
170,12/10/2013,13.91,25.61,28.05,19.32,1802.62,2.12,.,20.198214,17.77943,278269600,19.389,19.389,54736000,27.01524,27.01524,74433955
171,12/11/2013,15.42,27.46,29.47,19.87,1782.22,2.15,93.0842,20.048571,17.647709,359718800,19.109501,19.109501,49026000,26.831678,26.831678,68728650
